CNPJ_Fundo;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
00.332.266/0001-31;2016-12-31;2;Via Parque Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI ou IPCA com garantia de Fiadores.
00.762.723/0001-28;2016-12-31;2;CTI;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.
00.868.235/0001-08;2016-12-31;1;Hotel;Contrato de arrendamento com a Accor
00.868.235/0001-08;2016-12-31;1;ABS;Contratos majoritriamente corrigidos pelo IGP-M e com prazo de 5 anos
01.201.140/0001-90;2016-12-31;2;Grand Plaza Shopping;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.
01.235.622/0001-61;2016-12-31;1;Primeiro De Março, 19;Multa por atraso superior
01.235.622/0001-61;2016-12-31;1;Av. Mem De Sá;Multa por atraso maior e isenção de multa de rescisão com aviso prévio de 3 meses.
01.235.622/0001-61;2016-12-31;1;Avenida Brasil, 20384;Prazo contratual superior, índice de reajuste pelo IPCA, garantia a partir de nota promissória, isenção de multa rescisória a partir de determinado tempo de contrato desde que dado aviso prévio de 90 dias,
01.235.622/0001-61;2016-12-31;1;Barão De Mesquita 164;Prazo contratual superior, obras de adequação realizadas pelo Locador com majoração do valor do aluguel
01.235.622/0001-61;2016-12-31;1;Cardeal Leme;Índice de reajuste pelo IGP-DI em um dos contratos. Contratos com isenção de multa por rescisão a partir de determinado tempo transcorrido. Um dos contratos sem a apresentação de garantia.
01.235.622/0001-61;2016-12-31;1;Carioca;Multa por atraso superior. Obrigação e Responsabilidade do Locatário em adequações e manutenções específicas nos imóveis.
01.235.622/0001-61;2016-12-31;1;Cesbon;Contrato com garantia de permanência por todo o prazo contratual, sob pena de pagamento a título de multa dos meses em aberto em caráter imediato. Garantia hipotecária.
01.235.622/0001-61;2016-12-31;1;Città América;Contratos com garantia de permanência por prazo determinado sob pena de pagamento de multa referente ao restante do prazo determinado e aviso de rescisão superior a 30 dias. Contratos com isenção de multa a partir de determinado período. Contratos com isenção de garantia e garantia mediante depósito. Um dos contratos com índice de reajuste pelo IPCA e prazo inferior aos 60 meses.
01.235.622/0001-61;2016-12-31;1;Città Office;Isenção de multa de rescisão a partir de determinado prazo, desde que realizado aviso prévio de 180 dias. Multa por atraso superior a 2%. Impossibilidade de alienar o imóvel a terceiros, enquanto não averbada a locação a menos que se obtenha do futuro comprador a garantia de que o contrato será cumprido, sob pena de pagamento de multa em caso de não cumprimento que resulte a saída do Locatário antes do término do contrato.
01.235.622/0001-61;2016-12-31;1;Conde De Bonfim, 149;Multa por atraso maior e data para pagamento de aluguel diferente.
01.235.622/0001-61;2016-12-31;1;Dom Gerardo, 46;Prazos menores e maiores a 60 meses, Multa para o Locador em caso de extinção do usufruto durante a vigência do contrato. Isenção de garantia
