CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
01.235.622/0001-61;2022-03-31;3;Imóveis para renda acabados;Largo de Santa Rita;Largo de Santa Rita, 10, Centro, Rio de Janeiro;292;1;Loja;0;0;0.000572;;;;;;;
01.235.622/0001-61;2022-03-31;3;Imóveis para renda acabados;CESBOM;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;17539.69;1;Centro de Ensino Superiorl do Bom Despacho;0;1;0.001019;;;;;;;
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Maison Laranjeiras;Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ;9275;110;Construção própia;;;;;0.901;0.9379;0.9846;61617311;61617311;
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Aretê - Peninsula Norte;Praia Rasa, Buzios - RJ;4901;28;Construção própia;;;;;0.821429;1;1;44059184.2401;44059184.2401;
01.235.622/0001-61;2022-03-31;3;Imóveis para renda acabados;Golden Corporate;Rua Buenos Aires nº48, centro, Rio de Janeiro;2887;7;Lajes Corporativas;0.714286;0;0.000513;;;;;;;
01.235.622/0001-61;2022-03-31;3;Imóveis para renda acabados;Citta Office;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;1898.73;1;Lajes Corporativas;1;0;0;;;;;;;
01.235.622/0001-61;2022-03-31;3;Imóveis para renda acabados;Ícono Parque;R. Machado de Assis, 40 - Flamengo, Rio de Janeiro - RJ, 22220-060;379.47;4;Lojas;0;0;0;;;;;;;
01.235.622/0001-61;2022-03-31;3;Imóveis para venda em construção;Iluminato;Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ;6175;54;Construção própia;;;;;0.833;0.6754;0.7681;35075709.56;35075709.56;
01.235.622/0001-61;2022-03-31;3;Imóveis para renda acabados;Sete de Setembro;Rua Sete de Setembro nº155, centro, Rio de Janeiro;283;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2022-03-31;3;Imóveis para renda acabados;Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;27969.29;11;Lojas;0.5;0.3;0.002859;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Conde de Bonfim,149;Rua Conde de Bonfim nº149, centro, Rio de Janeiro;638.64;1;Lajes Corporativas;1;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Barão de Mesquita;Barão de Mesquita nº164, Rio de Janeiro;2420;1;Colégio São José;1;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Rainha Guilhermina;Rainha Guilhermina, 75 , Leblon;1109.96;5;Prédio;0.5;0;0.00093;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Rio Branco 45;Avenida Rio Branco nº45, centro, Rio de Janeiro;520.84;2;Salas;0.5;0;0.000467;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Teofilo Otoni 24;Rua Teofilo Otoni 24;133;1;Loja;0;0;5.3E-05;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda acabados;Touch;Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ;488.92;17;Aquisição de unidades prontas;;;;;;;;;;0.419023
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Senhor dos Passos 107;Rua Senhor do Passos nº107, centro, Rio deJaneiro;382;1;Salas;0;1;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Iluminato;Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ;6175;54;Construção própia;;;;;0.833;0.6754;0.7681;35075709.56;35075709.56;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Av. Mem de Sá;Av. Mem de Sá, 102, Centro, Rio de Janeiro.;800;1;Loja;1;0;0.00069;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;26140;376;Construção própia;;;;;0.947;0.7489;0.8974;200609282.02;212256515.779;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Orbit;Av. Presidente Vargas, 989, Centro , Rio dde Janeiro;600;1;Terreno;0;0;0.00025;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Carioca;Rua da Carioca, centro, Rio de Janeiro;3777.16;14;Lojas;0.444444;0.555556;0.003256;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Blanc 260;Rua Assunção 260, Botafogo;5109.1;35;Construção própia;;;;;0.486;0.1253;0.181;8510546.28;5787137.4771;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Presidente Antonio Carlos;Av. Presidente Antonio Carlos, 51, centro , Rio de Janeiro;600;2;Laje Corporativa;1;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Dom Gerardo 40/42;Rua Dom Gerardo nº40 e 42, centro, Rio de Janeiro;7175.92;12;Prédio;0.833333;0;0.000587;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Aretê - Peninsula Norte;Praia Rasa, Buzios - RJ;4901;28;Construção própia;;;;;0.821429;1;1;44059184.2401;44059184.2401;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda acabados;Innovitá;Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ;176.66;3;Aquisição de unidades prontas;;;;;;;;;;0.168621
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;São Pedro da Aldeia;Rodovia Amaral Peixoto, Km 107, Quadra 20, Lote 9, S/n - Balneario São Pedro, São Pedro da Aldeia;3581.88;1;Prédio;0;1;0.000666;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Costa Mare;Rodovia Darly Santos, S/n°, Gleba I, Vila Velha - ES;19811;120;Construção própia;;;;;0.417;1;1;119460974.9786;119791636.6746;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Itumbiara - Fase 1;Avenida Santos Dumont, 979, Setor Oeste, Itumbiara - GO;4145;1;Universidade;0;0;0.001286;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda acabados;Riserva;R. Constante Sodré, 1313 - Praia do Canto, Vitória - ES, 29057-560;202.38;1;Aquisição de unidades prontas;;;;;;;;;;0.046653
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Esquina 98;Rua Miguel Couto, 98;3583.39;4;Prédio;0.75;0.25;0.000573;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Citta Office;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;1898.73;1;Lajes Corporativas;1;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Metropolitan;Av. Professor Magalhães Neto, na Pituba, Subdistrito de Amaralina, em Salvador (BA);5662;2;Lajes Corporativas;0;0.5;0.000151;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Marechal Camara;Avenida Marechal Camara nº160, centro, Rio de Janeiro;840;1;Salas;0;0;0.004238;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;The Gallery;R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES;6841;108;Construção própia;;;;;0.612;1;1;95116659.9356;105548685.0211;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Uruguaiana, 76;Rua Uruguaiana nº 76, centro, Rio de Janeiro;282.11;1;Loja;0;1;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Golden Corporate;Rua Buenos Aires nº48, centro, Rio de Janeiro;2887;7;Lajes Corporativas;0.714286;0;0.000513;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda acabados;Miraggio;R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ;1425;6;Aquisição de unidades prontas;;;;;;;;;;0.275887
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Uruguaiana, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;645.79;1;Loja;0;1;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;27969.29;11;Lojas;0.5;0.3;0.002859;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda acabados;Toscanini;Rua Arturo Toscanini, Belo Horizonte - MG;162.05;7;Aquisição de unidades prontas;;;;;;;;;;0.08949
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;CESBOM;Fazenda cachoeirinha, Bom Despacho, Minas Gerais;17539.69;1;Centro de Ensino Superiorl do Bom Despacho;0;1;0.001019;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Sete de Setembro;Rua Sete de Setembro nº155, centro, Rio de Janeiro;283;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Maison Laranjeiras;Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ;9275;110;Construção própia;;;;;0.901;0.9379;0.9846;61617311;61617311;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Travessa do Ouvidor;Travessa do Ouvidor nº9, centro, Rio de Janeiro;749.88;1;Loja;0;1;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda acabados;Hotel & Bureal;Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF;98.85;1;Aquisição de unidades prontas;;;;;;;;;;0.000327
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Largo de Santa Rita;Largo de Santa Rita, 10, Centro, Rio de Janeiro;292;1;Loja;0;0;0.000572;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Visconde de Inhauma;Rua Visconde de Inhauma, 95, centro, Rio de Janeiro;7688.02;1;Prédio;0;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;AV. Brasil, 20384;Av. Brasil, 20384, Rio de Janeiro.;6500;1;Galpão;1;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Itabira;Rua Guarda Mor Custódio, Centro, Itabira - MG;8312;1;Universidade;0;0;0.001418;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Dom Gerado 46;Rua Dom Gerardo nº46, centro, Rio de Janeiro;4750.65;13;Lajes Corporativas;0.923077;0;0.000322;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Cardeal Leme;Rua Teófilo Otoni, 82. Centro. Rio de Janeiro.;6194.4;28;Teófilo Otoni;0.428571;0.214286;0.001832;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Aretê - Alto Ybirá;Praia Rasa, Buzios - RJ;3201.37;18;Construção própia;;;;;0.889;0.927;1;17840351.0364;21724432.95;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Touch;Rua Jardim Botânico, nº 568, conjunto 301, Jardim Botânico, Rio de Janeiro/RJ;86.91;1;Prédio;1;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Ícono Parque;R. Machado de Assis, 40 - Flamengo, Rio de Janeiro - RJ, 22220-060;379.47;4;Lojas;0;0;0;;;;;;;
01.235.622/0001-61;2022-06-30;2;Imóveis para venda em construção;Crystal Blue;Rua Elesbão Linhares, n 503, Vitória - ES;9050.69;36;Construção própia;;;;;0.611;0.392;0.5286;7511834.26;12657893.8779;
01.235.622/0001-61;2022-06-30;2;Imóveis para renda acabados;Primeiro de Março;Rua Primeiro de Março nº19, centro, Rio de Janeiro;798.8;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para renda acabados;Citta Office;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;1898.73;1;Lajes Corporativas;0;0;0.003198;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Crystal Blue;Rua Elesbão Linhares, n 503, Vitória - ES;9050.69;36;Construção própia;;;;;0.645161;0.7214;0.7714;11993054.28;26486494.06;
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Aretê - Alto Ybirá;Praia Rasa, Buzios - RJ;3201.37;18;Construção própia;;;;;0.833333;1;1;17719964.14;19800572.45;
01.235.622/0001-61;2022-09-30;2;Imóveis para renda acabados;Uruguaiana, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;645.79;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para renda acabados;Cardeal Leme;Rua Teófilo Otoni, 82. Centro. Rio de Janeiro.;6194.4;28;Teófilo Otoni;0.428571;0.142857;0.002415;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para renda acabados;Travessa do Ouvidor;Travessa do Ouvidor nº9, centro, Rio de Janeiro;749.88;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para renda acabados;Primeiro de Março;Rua Primeiro de Março nº19, centro, Rio de Janeiro;798.8;1;Loja;1;0;0;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para renda acabados;Conde de Bonfim,149;Rua Conde de Bonfim nº149, centro, Rio de Janeiro;638.64;1;Lajes Corporativas;1;0;0;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Maison Laranjeiras;Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ;9275;110;Construção própia;;;;;0.818182;1;1;62527686.05;62527686.05;
01.235.622/0001-61;2022-09-30;2;Imóveis para renda acabados;Barão de Mesquita;Barão de Mesquita nº164, Rio de Janeiro;2420;1;Colégio São José;0;0;0.001039;;;;;;;
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;26140;376;Construção própia;;;;;0.962667;0.7897;0.97;257317119.78;242311945.93;
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Iluminato;Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ;6175;54;Construção própia;;;;;0.851852;0.9015;0.997;49842583.34;52321462.13;
01.235.622/0001-61;2022-09-30;2;Imóveis para venda em construção;Aretê - Peninsula Norte;Praia Rasa, Buzios - RJ;4901;28;Construção própia;;;;;0.827583;0.9368;1;28982205.84;31435215.93;
01.235.622/0001-61;2022-09-30;2;Imóveis para venda acabados;Hotel & Bureal;Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF;98.85;1;Aquisição de unidades prontas;;;;;;;;;;0.000327
01.235.622/0001-61;2022-09-30;2;Imóveis para venda acabados;Touch;Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ;488.92;17;Aquisição de unidades prontas;;;;;;;;;;0.419023
